,Movie Name,Year of Release,Runtime,Genre,Movie Rating,Metascore of Movie,Votes,Gross,Description
79,Deadpool 2,2018,119 ,"Action, Adventure, Comedy",7.6,66,605823,$324.59M,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
80,Casablanca,1942,102 ,"Drama, Romance, War",8.5,100,583816,$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
81,Harry Potter and the Prisoner of Azkaban,2004,142 ,"Adventure, Family, Fantasy",7.9,82,656073,$249.36M,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
82,Avatar,2009,162 ,"Action, Adventure, Fantasy",7.9,83,1342636,$760.51M,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
83,Scarface,1983,170 ,"Crime, Drama",8.3,65,866771,$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
84,Deadpool,2016,108 ,"Action, Comedy",8.0,65,1068645,$363.07M,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
85,Blade Runner,1982,117 ,"Action, Drama, Sci-Fi",8.1,84,788398,$32.87M,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
86,The Fifth Element,1997,126 ,"Action, Adventure, Sci-Fi",7.6,52,486370,$63.54M,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
87,The Hangover,2009,100 ,Comedy,7.7,73,808436,$277.32M,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
88,American Beauty,1999,122 ,Drama,8.3,84,1174011,$130.10M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
89,The Princess Bride,1987,98 ,"Adventure, Comedy, Family",8.0,77,436245,$30.86M,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
90,Harry Potter and the Deathly Hallows: Part 2,2011,130 ,"Adventure, Family, Fantasy",8.1,85,901177,$381.01M,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
91,The Irishman,2019,209 ,"Biography, Crime, Drama",7.8,94,404214,$7.00M,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa."
92,Oldboy,2003,120 ,"Action, Drama, Mystery",8.4,77,596808,$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
93,Black Hawk Down,2001,144 ,"Action, Drama, History",7.7,74,407525,$108.64M,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis."
94,The Shining,1980,146 ,"Drama, Horror",8.4,66,1049871,$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
95,Iron Man,2008,126 ,"Action, Adventure, Sci-Fi",7.9,79,1083112,$318.41M,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
96,Call Me by Your Name,2017,132 ,"Drama, Romance",7.8,94,288807,$18.10M,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
97,Little Women,2019,135 ,"Drama, Romance",7.8,91,219475,$108.10M,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
98,North by Northwest,1959,136 ,"Action, Adventure, Mystery",8.3,98,334759,$13.28M,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
99,Gone Girl,2014,149 ,"Drama, Mystery, Thriller",8.1,79,1009227,$167.77M,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
100,The Lord of the Rings: The Return of the King,2003,201 ,"Action, Adventure, Drama",9.0,94,1888247,$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
101,2001: A Space Odyssey,1968,149 ,"Adventure, Sci-Fi",8.3,84,685866,$56.95M,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
102,12 Angry Men,1957,96 ,"Crime, Drama",9.0,97,813568,$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
103,Ford v Ferrari,2019,152 ,"Action, Biography, Drama",8.1,81,419475,$117.62M,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
104,RRR,2022,187 ,"Action, Drama",7.8,83,150639,$14.50M,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
105,The Lion King,1994,88 ,"Animation, Adventure, Drama",8.5,88,1086124,$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
106,Memento,2000,113 ,"Mystery, Thriller",8.4,81,1264250,$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.
107,Mission: Impossible - Fallout,2018,147 ,"Action, Adventure, Thriller",7.7,86,345244,$220.16M,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong."
108,Arrival,2016,116 ,"Drama, Mystery, Sci-Fi",7.9,81,719528,$100.55M,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
109,Office Space,1999,89 ,Comedy,7.6,68,275947,$10.82M,Three company workers who hate their jobs decide to rebel against their greedy boss.
110,Almost Famous,2000,122 ,"Adventure, Comedy, Drama",7.9,90,283886,$32.53M,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.
111,The Terminator,1984,107 ,"Action, Sci-Fi",8.1,84,885915,$38.40M,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
112,Terminator 2: Judgment Day,1991,137 ,"Action, Sci-Fi",8.6,75,1123749,$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg."
113,The Dark Knight Rises,2012,164 ,"Action, Drama, Thriller",8.4,78,1742683,$448.14M,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
114,Stand by Me,1986,89 ,"Adventure, Drama",8.1,75,417756,$52.29M,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
115,Rogue One: A Star Wars Story,2016,133 ,"Action, Adventure, Sci-Fi",7.8,65,658242,$532.18M,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
116,Moana,2016,107 ,"Animation, Adventure, Comedy",7.6,81,352021,$248.76M,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
117,Drive,2011,100 ,"Action, Drama",7.8,78,665038,$35.06M,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.
118,Casino,1995,178 ,"Crime, Drama",8.2,73,535130,$42.44M,"In Las Vegas, two best friends - a mafia enforcer and a casino executive - compete for a gambling empire and a fast-living, fast-loving socialite."
119,The Avengers,2012,143 ,"Action, Sci-Fi",8.0,69,1416765,$623.28M,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
120,One Flew Over the Cuckoo's Nest,1975,133 ,Drama,8.7,84,1029306,$112.00M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
121,The Big Lebowski,1998,117 ,"Comedy, Crime",8.1,71,827600,$17.50M,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife."
122,Catch Me If You Can,2002,141 ,"Biography, Crime, Drama",8.1,75,1022206,$164.62M,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
123,American History X,1998,119 ,"Crime, Drama",8.5,62,1143845,$6.72M,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
124,"The Good, the Bad and the Ugly",1966,178 ,"Adventure, Western",8.8,90,777671,$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
125,Aliens,1986,137 ,"Action, Adventure, Sci-Fi",8.4,84,732896,$85.16M,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
126,Zack Snyder's Justice League,2021,242 ,"Action, Adventure, Fantasy",7.9,54,413082,,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
127,Sicario,2015,121 ,"Action, Crime, Drama",7.6,82,446588,$46.89M,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
128,The Notebook,2004,123 ,"Drama, Romance",7.8,53,588413,$81.00M,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom. However, social differences soon get in the way."
129,Get Out,2017,104 ,"Horror, Mystery, Thriller",7.7,85,641290,$176.04M,"A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
130,300,2006,117 ,"Action, Drama",7.6,52,836852,$210.61M,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
131,The Dirty Dozen,1967,150 ,"Action, Adventure, War",7.7,73,76137,$45.30M,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
132,1917,2019,119 ,"Action, Drama, War",8.2,78,621730,$159.23M,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
